Membership No  Date Joined  Active  
    93382      2015-7-16    no    
    43390      2015-12-7    no    
    81699      2019-3-6     no    
    62081      2019-11-4    no    
    32084      2017-9-23    no    
    89236      2020-1-19    no    
    57161      2018-8-11    no    
    20083      2019-11-20   no    
    75515      2015-3-16    no    
    16499      2019-3-7     no    
    72273      2017-5-16    no    
    23784      2020-1-21    no    
    20431      2020-9-7     no    
    75529      2017-3-7     no    
